MarcaTiempo,TiempoRespuesta,TipoSolicitud,CodigoHTTP,MensajeRespuesta,CasoPrueba,TipoContenido,Exito,Bytes,Hilos,Muestras,Latencia
1733108984748,2427,HTTP Request,200,OK,Caso4 1-313,text,true,507,123,123,2427
1733108985656,1524,HTTP Request,200,OK,Caso4 1-384,text,true,521,122,122,1524
1733108985371,1809,HTTP Request,200,OK,Caso4 1-362,text,true,521,121,121,1809
1733108983435,3751,HTTP Request,200,OK,Caso4 1-213,text,true,535,120,120,3751
1733108984157,3032,HTTP Request,200,OK,Caso4 1-267,text,true,535,119,119,3031
1733108984567,2626,HTTP Request,200,OK,Caso4 1-299,text,true,535,118,118,2626
1733108984093,3133,HTTP Request,200,OK,Caso4 1-262,text,true,507,117,117,3133
1733108984977,2254,HTTP Request,200,OK,Caso4 1-331,text,true,507,116,116,2254
1733108983197,4042,HTTP Request,200,OK,Caso4 1-196,text,true,507,115,115,4042
1733108984439,2801,HTTP Request,200,OK,Caso4 1-289,text,true,507,114,114,2801
1733108984182,3058,HTTP Request,200,OK,Caso4 1-269,text,true,535,114,114,3058
1733108983729,3512,HTTP Request,200,OK,Caso4 1-236,text,true,521,112,112,3512
1733108983287,3957,HTTP Request,200,OK,Caso4 1-202,text,true,549,111,111,3957
1733108984261,2988,HTTP Request,200,OK,Caso4 1-275,text,true,549,110,110,2988
1733108983691,3567,HTTP Request,200,OK,Caso4 1-233,text,true,507,109,109,3567
1733108984299,2960,HTTP Request,200,OK,Caso4 1-278,text,true,521,108,108,2960
1733108984350,2910,HTTP Request,200,OK,Caso4 1-282,text,true,535,107,107,2909
1733108985028,2249,HTTP Request,200,OK,Caso4 1-335,text,true,507,106,106,2249
1733108984516,2762,HTTP Request,200,OK,Caso4 1-295,text,true,521,105,105,2762
1733108985385,1903,HTTP Request,200,OK,Caso4 1-363,text,true,507,104,104,1903
1733108985079,2210,HTTP Request,200,OK,Caso4 1-339,text,true,549,103,103,2210
1733108984389,2903,HTTP Request,200,OK,Caso4 1-285,text,true,507,102,102,2903
1733108984287,3006,HTTP Request,200,OK,Caso4 1-277,text,true,507,101,101,3006
1733108984273,3021,HTTP Request,200,OK,Caso4 1-276,text,true,521,100,100,3021
1733108985117,2178,HTTP Request,200,OK,Caso4 1-342,text,true,535,99,99,2177
1733108984912,2383,HTTP Request,200,OK,Caso4 1-326,text,true,507,98,98,2383
1733108985065,2231,HTTP Request,200,OK,Caso4 1-338,text,true,549,97,97,2231
1733108983628,3686,HTTP Request,200,OK,Caso4 1-228,text,true,535,96,96,3686
1733108985194,2122,HTTP Request,200,OK,Caso4 1-348,text,true,507,95,95,2122
1733108985486,1836,HTTP Request,200,OK,Caso4 1-371,text,true,507,94,94,1836
1733108984925,2398,HTTP Request,200,OK,Caso4 1-327,text,true,507,93,93,2398
1733108983822,3502,HTTP Request,200,OK,Caso4 1-243,text,true,535,92,92,3502
1733108984324,3002,HTTP Request,200,OK,Caso4 1-280,text,true,549,91,91,3002
1733108984107,3230,HTTP Request,200,OK,Caso4 1-263,text,true,507,90,90,3229
1733108984905,2437,HTTP Request,200,OK,Caso4 1-325,text,true,521,89,89,2437
1733108984800,2544,HTTP Request,200,OK,Caso4 1-317,text,true,521,88,88,2544
1733108984081,3264,HTTP Request,200,OK,Caso4 1-261,text,true,507,87,87,3264
1733108984037,3309,HTTP Request,200,OK,Caso4 1-258,text,true,521,86,86,3309
1733108984684,2663,HTTP Request,200,OK,Caso4 1-308,text,true,549,85,85,2663
1733108984604,2744,HTTP Request,200,OK,Caso4 1-302,text,true,521,84,84,2744
1733108983969,3380,HTTP Request,200,OK,Caso4 1-254,text,true,507,83,83,3380
1733108984052,3298,HTTP Request,200,OK,Caso4 1-259,text,true,507,82,82,3298
1733108984708,2642,HTTP Request,200,OK,Caso4 1-310,text,true,521,81,81,2642
1733108984553,2797,HTTP Request,200,OK,Caso4 1-298,text,true,521,80,80,2797
1733108984490,2861,HTTP Request,200,OK,Caso4 1-293,text,true,521,79,79,2861
1733108983941,3416,HTTP Request,200,OK,Caso4 1-252,text,true,549,78,78,3416
1733108984723,2670,HTTP Request,200,OK,Caso4 1-311,text,true,535,77,77,2670
1733108984132,3263,HTTP Request,200,OK,Caso4 1-265,text,true,521,76,76,3263
1733108983743,3653,HTTP Request,200,OK,Caso4 1-237,text,true,549,75,75,3653
1733108983901,3533,HTTP Request,200,OK,Caso4 1-249,text,true,507,74,74,3533
1733108985053,2381,HTTP Request,200,OK,Caso4 1-337,text,true,521,74,74,2381
1733108985104,2331,HTTP Request,200,OK,Caso4 1-341,text,true,521,73,73,2331
1733108985157,2278,HTTP Request,200,OK,Caso4 1-345,text,true,507,72,72,2278
1733108985422,2027,HTTP Request,200,OK,Caso4 1-366,text,true,521,70,70,2027
1733108984068,3391,HTTP Request,200,OK,Caso4 1-260,text,true,535,69,69,3391
1733108984786,2674,HTTP Request,200,OK,Caso4 1-316,text,true,549,68,68,2674
1733108985397,2067,HTTP Request,200,OK,Caso4 1-364,text,true,521,67,67,2067
1733108984837,2632,HTTP Request,200,OK,Caso4 1-320,text,true,521,66,66,2632
1733108985015,2455,HTTP Request,200,OK,Caso4 1-334,text,true,521,65,65,2455
1733108984952,2518,HTTP Request,200,OK,Caso4 1-329,text,true,507,65,65,2518
1733108985168,2303,HTTP Request,200,OK,Caso4 1-346,text,true,549,63,63,2303
1733108984824,2648,HTTP Request,200,OK,Caso4 1-319,text,true,507,62,62,2648
1733108984401,3072,HTTP Request,200,OK,Caso4 1-286,text,true,507,61,61,3072
1733108984618,2858,HTTP Request,200,OK,Caso4 1-303,text,true,549,60,60,2858
1733108985435,2043,HTTP Request,200,OK,Caso4 1-367,text,true,549,59,59,2043
1733108984414,3065,HTTP Request,200,OK,Caso4 1-287,text,true,549,58,58,3065
1733108984311,3169,HTTP Request,200,OK,Caso4 1-279,text,true,521,57,57,3169
1733108985295,2189,HTTP Request,200,OK,Caso4 1-356,text,true,507,56,56,2189
1733108983955,3530,HTTP Request,200,OK,Caso4 1-253,text,true,549,55,55,3530
1733108985232,2253,HTTP Request,200,OK,Caso4 1-351,text,true,535,54,54,2253
1733108985334,2152,HTTP Request,200,OK,Caso4 1-359,text,true,521,53,53,2152
1733108985358,2129,HTTP Request,200,OK,Caso4 1-361,text,true,507,52,52,2129
1733108985283,2206,HTTP Request,200,OK,Caso4 1-355,text,true,507,51,51,2206
1733108984579,2913,HTTP Request,200,OK,Caso4 1-300,text,true,521,50,50,2913
1733108985461,2032,HTTP Request,200,OK,Caso4 1-369,text,true,521,49,49,2032
1733108984964,2532,HTTP Request,200,OK,Caso4 1-330,text,true,535,48,48,2532
1733108985091,2407,HTTP Request,200,OK,Caso4 1-340,text,true,507,47,47,2407
1733108984811,2698,HTTP Request,200,OK,Caso4 1-318,text,true,507,46,46,2698
1733108985270,2243,HTTP Request,200,OK,Caso4 1-354,text,true,521,45,45,2243
1733108984669,2870,HTTP Request,200,OK,Caso4 1-307,text,true,507,44,44,2870
